Isolate,Treat,Rep,Conc,GRate,Catorg
A43,Control,R1,Control,6,Control
A43,Control,R2,Control,5,Control
A43,Control,R3,Control,5,Control
A43,Intego,R1,IT1,5,I43_1
A43,Intego,R2,IT1,4,I43_1
A43,Intego,R3,IT1,6,I43_1
A43,Intego,R1,IT3,5,I43_3
A43,Intego,R2,IT3,5,I43_3
A43,Intego,R3,IT3,5,I43_3
A43,Allegiance,R1,AT1,3,A43_1
A43,Allegiance,R2,AT1,4,A43_1
A43,Allegiance,R3,AT1,4,A43_1
A43,Allegiance,R1,AT2,0,A43_2
A43,Allegiance,R2,AT2,0,A43_2
A43,Allegiance,R3,AT2,3,A43_2
A43,Allegiance,R1,AT3,2,A43_3
A43,Allegiance,R2,AT3,2,A43_3
A43,Allegiance,R3,AT3,2,A43_3
A43,Ridomil,R1,RT1,1,R43_1
A43,Ridomil,R2,RT1,1,R43_1
A43,Ridomil,R3,RT1,2,R43_1
A43,Ridomil,R1,RT2,1,R43_2
A43,Ridomil,R2,RT2,0,R43_2
A43,Ridomil,R3,RT2,2,R43_2
A43,Ridomil,R1,RT3,0,R43_3
A43,Ridomil,R2,RT3,3,R43_3
A43,Ridomil,R3,RT3,1,R43_3
