Isolate,Treat,Rep,Conc,GRate,Catorg
E58,Control,R1,Control,0,Control
E58,Control,R2,Control,0.142857143,Control
E58,Control,R3,Control,0.285714286,Control
E58,Intego,R1,IT1,0,I58_1
E58,Intego,R2,IT1,1,I58_1
E58,Intego,R3,IT1,0.571428571,I58_1
E58,Intego,R1,IT2,0.142857143,I58_2
E58,Intego,R2,IT2,0.142857143,I58_2
E58,Intego,R3,IT2,0,I58_2
E58,Intego,R1,IT3,0,I58_3
E58,Intego,R2,IT3,0,I58_3
E58,Intego,R3,IT3,0.857142857,I58_3
E58,Allegiance,R1,AT1,0.714285714,A58_1
E58,Allegiance,R2,AT1,0.571428571,A58_1
E58,Allegiance,R3,AT1,0.428571429,A58_1
E58,Allegiance,R1,AT2,0.571428571,A58_2
E58,Allegiance,R2,AT2,0.285714286,A58_2
E58,Allegiance,R3,AT2,0.428571429,A58_2
E58,Allegiance,R1,AT3,1.285714286,A58_3
E58,Allegiance,R2,AT3,1.428571429,A58_3
E58,Allegiance,R3,AT3,1.571428571,A58_3
E58,Ridomil,R1,RT1,0.285714286,R58_1
E58,Ridomil,R1,RT2,1,R58_2
E58,Ridomil,R2,RT2,1.285714286,R58_2
E58,Ridomil,R3,RT2,0.285714286,R58_2
E58,Ridomil,R1,RT3,0.857142857,R58_3
E58,Ridomil,R2,RT3,1,R58_3
E58,Ridomil,R3,RT3,1,R58_3
