Isolate,Treat,Rep,Conc,GRate,Catorg
A54,Control,R1,Control,2.571428571,Control
A54,Control,R2,Control,2.571428571,Control
A54,Control,R3,Control,2.857142857,Control
A54,Intego,R1,IT1,2.428571429,I54b_1
A54,Intego,R2,IT1,2.714285714,I54b_1
A54,Intego,R3,IT1,2.571428571,I54b_1
A54,Intego,R1,IT2,2.285714286,I54b_2
A54,Intego,R2,IT2,2.428571429,I54b_2
A54,Intego,R3,IT2,2.428571429,I54b_2
A54,Intego,R1,IT3,2,I54b_3
A54,Intego,R2,IT3,2.714285714,I54b_3
A54,Intego,R3,IT3,2.428571429,I54b_3
A54,Allegiance,R1,AT1,2.428571429,A54b_1
A54,Allegiance,R2,AT1,2.571428571,A54b_1
A54,Allegiance,R3,AT1,2,A54b_1
A54,Allegiance,R1,AT2,2.142857143,A54b_2
A54,Allegiance,R2,AT2,2,A54b_2
A54,Allegiance,R3,AT2,2.285714286,A54b_2
A54,Allegiance,R1,AT3,1.142857143,A54b_3
A54,Allegiance,R2,AT3,1.428571429,A54b_3
A54,Allegiance,R3,AT3,1.285714286,A54b_3
A54,Ridomil,R1,RT1,2.571428571,R54b_1
A54,Ridomil,R2,RT1,1.142857143,R54b_1
A54,Ridomil,R3,RT1,1.285714286,R54b_1
A54,Ridomil,R1,RT2,2.142857143,R54b_2
A54,Ridomil,R2,RT2,2,R54b_2
A54,Ridomil,R3,RT2,2.428571429,R54b_2
A54,Ridomil,R1,RT3,0,R54b_3
A54,Ridomil,R2,RT3,0.142857143,R54b_3
A54,Ridomil,R3,RT3,0,R54b_3
