Isolate,Treat,Rep,Conc,GRate,Catorg
E65,Control,R1,Control,2,Control
E65,Control,R2,Control,0.666666667,Control
E65,Control,R3,Control,2,Control
E65,Intego,R1,IT1,3.666666667,I64_1
E65,Intego,R2,IT1,5.333333333,I64_1
E65,Intego,R3,IT1,2.666666667,I64_1
E65,Intego,R1,IT2,3.666666667,I64_2
E65,Intego,R2,IT2,2.666666667,I64_2
E65,Intego,R3,IT2,2,I64_2
E65,Intego,R1,IT3,3,I64_3
E65,Intego,R2,IT3,4.333333333,I64_3
E65,Intego,R3,IT3,4,I64_3
E65,Allegiance,R1,AT1,2,A64_1
E65,Allegiance,R2,AT1,1,A64_1
E65,Allegiance,R3,AT1,2,A64_1
E65,Allegiance,R1,AT2,1.666666667,A64_2
E65,Allegiance,R2,AT2,3,A64_2
E65,Allegiance,R3,AT2,3.666666667,A64_2
E65,Allegiance,R1,AT3,1.666666667,A64_3
E65,Allegiance,R2,AT3,1.333333333,A64_3
E65,Allegiance,R3,AT3,1.333333333,A64_3
E65,Ridomil,R1,RT1,2.333333333,R64_1
E65,Ridomil,R2,RT1,2,R64_1
E65,Ridomil,R3,RT1,2.333333333,R64_1
E65,Ridomil,R1,RT2,2.666666667,R64_2
E65,Ridomil,R2,RT2,3.333333333,R64_2
E65,Ridomil,R3,RT2,3.666666667,R64_2
E65,Ridomil,R1,RT3,0,R64_3
E65,Ridomil,R2,RT3,0.333333333,R64_3
E65,Ridomil,R3,RT3,0,R64_3
